,city,country,commitment_type,commitment,ghg_subtype,baseline_year,baseline_year_emissions,target_year,target_year_emissions,percent_reduction,emissions_reduction_by_target_year
314,"Niigata Prefecture, Japan",Japan,GHG emission reduction target, The Niigata Prefecture has committed to reduce its Community emissions by 6% by 2020 compared to 1990 emission level.,Community,1990,,2020,,6.0,
315,"Niigata Prefecture, Japan",Japan,GHG emission reduction target, The Niigata Prefecture has committed to reduce its Local Government emissions by 12% by 2012 compared to 2000 emission level.,Local Government,2000,,2012,,12.0,
316,"Nishinomiya, Japan",Japan,GHG emission reduction target, The Nishinomiya has committed to reduce its Community emissions by 10% by 2020 compared to 1990 emission level.,Community,1990,,2020,,10.0,
317,"Nishinomiya, Japan",Japan,GHG emission reduction target, The Nishinomiya has committed to reduce its Local Government emissions by 3% by 2012 compared to 2008 emission level.,Local Government,2008,,2012,,3.0,
318,"Odawara City, Japan",Japan,GHG emission reduction target, The Odawara City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
319,"Odawara City, Japan",Japan,GHG emission reduction target, The Odawara City has committed to reduce its Local Government emissions by 35% by 2020 compared to 2000 emission level.,Local Government,2000,,2020,,35.0,
320,"Oita Prefecture, Japan",Japan,GHG emission reduction target, The Oita Prefecture has committed to reduce its Community emissions by 6% by 2015 compared to 2008 emission level.,Community,2008,,2015,,6.0,
321,"Oita Prefecture, Japan",Japan,GHG emission reduction target, The Oita Prefecture has committed to reduce its Local Government emissions by 5% by 2015 compared to 2010 emission level.,Local Government,2010,,2015,,5.0,
322,"Okayama City, Japan",Japan,GHG emission reduction target, The Okayama City has committed to reduce its Community emissions by 4% by 2020 compared to 1990 emission level.,Community,1990,,2020,,4.0,
323,"Okayama City, Japan",Japan,GHG emission reduction target, The Okayama City has committed to reduce its Local Government emissions by 10% by 2010 compared to 2004 emission level.,Local Government,2004,,2010,,10.0,
324,"Okazaki City, Japan",Japan,GHG emission reduction target, The Okazaki City has committed to reduce its Community emissions by 10% by 2020 compared to 1990 emission level.,Community,1990,,2020,,10.0,
325,"Okazaki City, Japan",Japan,GHG emission reduction target, The Okazaki City has committed to reduce its Local Government emissions by 6% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,6.0,
326,"Osaka Prefecture, Japan",Japan,GHG emission reduction target, The Osaka Prefecture has committed to reduce its Community emissions by 9% by 2010 compared to 1990 emission level.,Community,1990,,2010,,9.0,
327,"Osaka Prefecture, Japan",Japan,GHG emission reduction target, The Osaka Prefecture has committed to reduce its Local Government emissions by 5% by 2010 compared to 2003 emission level.,Local Government,2003,,2010,,5.0,
328,"Ota City, Japan",Japan,GHG emission reduction target, The Ota City has committed to reduce its Community emissions by 6% by 2012 compared to 1990 emission level.,Community,1990,,2012,,6.0,
329,"Ota City, Japan",Japan,GHG emission reduction target, The Ota City has committed to reduce its Local Government emissions by 5% by 2014 compared to 2009 emission level.,Local Government,2009,,2014,,5.0,
330,"Otsu City, Japan",Japan,GHG emission reduction target, The Otsu City has committed to reduce its Community emissions by 34% by 2020 compared to 2007 emission level.,Community,2007,,2020,,34.0,
331,"Otsu City, Japan",Japan,GHG emission reduction target, The Otsu City has committed to reduce its Local Government emissions by 5% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,5.0,
332,"Sagamihara City, Japan",Japan,GHG emission reduction target, The Sagamihara City has committed to reduce its Community emissions by 15% by 2019 compared to 2006 emission level.,Community,2006,,2019,,15.0,
333,"Sagamihara City, Japan",Japan,GHG emission reduction target, The Sagamihara City has committed to reduce its Local Government emissions by 6% by 2008 compared to 2000 emission level.,Local Government,2000,,2008,,6.0,
334,"Saitama City, Japan",Japan,GHG emission reduction target, The Saitama City has committed to reduce its Community emissions by 80% of per capita/ per GDP emissions by 2050 compared to 2009 emission level.,Community,2009,,2050,,80.0,
335,"Saitama Prefecture, Japan",Japan,GHG emission reduction target, The Saitama Prefecture has committed to reduce its Community emissions by 25% by 2020 compared to 2005 emission level.,Community,2005,,2020,,25.0,
336,"Saitama Prefecture, Japan",Japan,GHG emission reduction target, The Saitama Prefecture has committed to reduce its Local Government emissions by 18% by 2014 compared to 2005 emission level.,Local Government,2005,,2014,,18.0,
337,"Sapporo City, Japan",Japan,GHG emission reduction target, The Sapporo City has committed to reduce its Community emissions by 80% by 2050 compared to 1990 emission level.,Community,1990,,2050,,80.0,
338,"Sendai City, Japan",Japan,GHG emission reduction target, The Sendai City has committed to reduce its Community emissions by 25% by 2020 compared to 2005 emission level.,Community,2005,,2020,,25.0,
339,"Sendai City, Japan",Japan,GHG emission reduction target, The Sendai City has committed to reduce its Local Government emissions by 14% by 2013 compared to 2004 emission level.,Local Government,2004,,2013,,14.0,
340,"Settsu City, Japan",Japan,GHG emission reduction target, The Settsu City has committed to reduce its Local Government emissions by 5% by 2010 compared to 2005 emission level.,Local Government,2005,,2010,,5.0,
341,"Shibuya City, Japan",Japan,GHG emission reduction target, The Shibuya City has committed to reduce its Local Government emissions by 20% by 2011 compared to 2008 emission level.,Local Government,2008,,2011,,20.0,
342,"Shiga Prefecture, Japan",Japan,GHG emission reduction target, The Shiga Prefecture has committed to reduce its Community emissions by 50% by 2030 compared to 1990 emission level.,Community,1990,,2030,,50.0,
343,"Shiga Prefecture, Japan",Japan,GHG emission reduction target, The Shiga Prefecture has committed to reduce its Local Government emissions by 9% by 2011 compared to 2005 emission level.,Local Government,2005,,2011,,9.0,
344,"Shimane Prefecture, Japan",Japan,GHG emission reduction target, The Shimane Prefecture has committed to reduce its Community emissions by 23% by 2020 compared to 1990 emission level.,Community,1990,,2020,,23.0,
345,"Shimane Prefecture, Japan",Japan,GHG emission reduction target, The Shimane Prefecture has committed to reduce its Local Government emissions by 6% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,6.0,
346,"Shimokawa Town, Japan",Japan,GHG emission reduction target, The Shimokawa Town has committed to reduce its Local Government emissions by 25% by 2013 compared to 2008 emission level.,Local Government,2008,,2013,,25.0,
347,"Shimonoseki City, Japan",Japan,GHG emission reduction target, The Shimonoseki City has committed to reduce its Community emissions by 80% by 2050 compared to 1990 emission level.,Community,1990,,2050,,80.0,
348,"Shimonoseki City, Japan",Japan,GHG emission reduction target, The Shimonoseki City has committed to reduce its Local Government emissions by 10% by 2012 compared to 2005 emission level.,Local Government,2005,,2012,,10.0,
349,"Shinjuku City, Japan",Japan,GHG emission reduction target, The Shinjuku City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
350,"Shinjuku City, Japan",Japan,GHG emission reduction target, The Shinjuku City has committed to reduce its Local Government emissions by 14% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,14.0,
351,"Shizuoka City, Japan",Japan,GHG emission reduction target, The Shizuoka City has committed to reduce its Community emissions by 48% by 2020 compared to 1990 emission level.,Community,1990,,2020,,48.0,
352,"Shizuoka City, Japan",Japan,GHG emission reduction target, The Shizuoka City has committed to reduce its Local Government emissions by 5% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,5.0,
353,"Shizuoka Prefecture, Japan",Japan,GHG emission reduction target, The Shizuoka Prefecture has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
354,"Shizuoka Prefecture, Japan",Japan,GHG emission reduction target, The Shizuoka Prefecture has committed to reduce its Local Government emissions by 5% by 2013 compared to 2009 emission level.,Local Government,2009,,2013,,5.0,
355,"Suita City, Japan",Japan,GHG emission reduction target, The Suita City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
356,"Suita City, Japan",Japan,GHG emission reduction target, The Suita City has committed to reduce its Local Government emissions by 25% by 2020 compared to 2005 emission level.,Local Government,2005,,2020,,25.0,
357,"Sumida City, Japan",Japan,GHG emission reduction target, The Sumida City has committed to reduce its Community emissions by 8% by 2015 compared to 1990 emission level.,Community,1990,,2015,,8.0,
358,"Sumida City, Japan",Japan,GHG emission reduction target, The Sumida City has committed to reduce its Local Government emissions by 8% by 2014 compared to 2007 emission level.,Local Government,2007,,2014,,8.0,
359,"Taito City, Japan",Japan,GHG emission reduction target, The Taito City has committed to reduce its Community emissions by 25% by 2019 compared to 2000 emission level.,Community,2000,,2019,,25.0,
360,"Taito City, Japan",Japan,GHG emission reduction target, The Taito City has committed to reduce its Local Government emissions by 5% by 2014 compared to 2008 emission level.,Local Government,2008,,2014,,5.0,
361,"Takarazuka City, Japan",Japan,GHG emission reduction target, The Takarazuka City has committed to reduce its Local Government emissions by 6% by 2010 compared to 2005 emission level.,Local Government,2005,,2010,,6.0,
362,"Takatsuki City, Japan",Japan,GHG emission reduction target, The Takatsuki City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
363,"Takatsuki City, Japan",Japan,GHG emission reduction target, The Takatsuki City has committed to reduce its Local Government emissions by 5% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,5.0,
364,"Tokorozawa City, Japan",Japan,GHG emission reduction target, The Tokorozawa City has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,Community,2007,,2050,,80.0,
