Official Name,City,Country,Constituency,Phone,Fax,Email,Coordinator
Economic Research Institute for Northeast Asia (ERINA),Niigata,Japan,Constituency - Research and independent,(81-25) 290-5545,(81-25) 249-7550,enkhee@erina.or.jp,Ms. Enkhbayar Shagdar
EcoPravo-Kyiv,Kyiv,Ukraine,Constituency - Environmental,(380-44) 275-9970,(380-44) 275-9970,ecolaw@ecopravo.kiev.ua,Ms. Yuliya Harnyk
Ecosocial Forum Europe,Vienna,Austria,Constituency - Environmental,(43-1) 2536-3500,(43-1) 2-5363-5070,Info@eco-social.eu,Mr. Klemens Riegler-Picker
Écotech Québec,Montreal,Canada,Constituency - Environmental,15149054825,,dleclerc@ecotechquebec.com,M. Denis Leclerc
Ecumenical Advocacy Alliance (EAA),Geneva,Switzerland,Constituency - Environmental,(41-22) 791-6723,(41-22) 710-2387,info@e-alliance.ch,Ms. Christine Campeau
Edison Electric Institute (EEI),Washington,United States of America,Constituency - Business and Industry,(1-202) 508-5000,(1-202) 508-5150,eholdsworth@eei.org,Mr. Eric Holdsworth
Edmund S. Muskie Foundation (ESMF),Bethesda,United States of America,Constituency - Environmental,(1-301)941-1981,,lgb@leonbillings.com,Mr. Adam Schafer
Eficor (EFICOR),New Delhi,India,Constituency - Environmental,011-25516383,011 - 25516384,hq@eficor.org,Mr. Ramesh Babu Mangalapudi
Eikosphere Foundation,Newport Coast,United States of America,Constituency - Environmental,(1-650) 722-1003,(1-949) 376-0115,catherine@eikosphere.org,Ms. Catherine Ann Cunningham
Ejecutor de Contrato de Administración de la Reserva Comunal Amarakaeri (ECA - RCA),Puerto Maldonado,Peru,Constituency - Indigenous peoples,(51) 082 572499,(51) 082 572539,eca.amarakaeri@yahoo.com.pe,Mr. Walter Quertehuari
El Ghad Essihi pour le Développement et la Protection de l'Environnement en Mauritanie (EGEDPEM),Nouakchott,Mauritania,Constituency - Research and independent,0022222007518,,ongelgadessihi@gmail.com,M. Abidine Cheikh
Electric Power Research Institute (EPRI),Palo Alto,United States of America,Constituency - Research and independent,(1-650) 855-2000,,ljwillia@epri.com,Mr. Tom Wilson
Electriciens sans frontières,Bagnolet Cedex,France,Constituency - ENGO,+ 33 1 84 21 10 40,,contact@electriciens-sans-frontieres.org,"Mme Laura, Claire Cornu"
Elizka Relief Foundation (Elizka),Adum - Kumasi,Ghana,Constituency - Business and Industry2,+2330502330605,,eri@eri.kabissa.org,Mr. Kofi Kankam
Emilia Romagna Technological Development Agency (ASTER),Bologna,Italy,Constituency - ENGO,(39-051)639-8099,(39-051)639-8131,info@aster.it,Ms. Valeria Bandini
Emory University,Atlanta,United States of America,Constituency - Research and independent,(1 404) 727 6123,,cop.emory@emory.edu,Ms. Stefanie Ebelt Sarnat
Employers' Association of Greenland,Nuuk,Denmark,Constituency - Business and Industry,(299) 32-1500,(299) 32-4340,ga@ga.gl,Ms. Ellen Lerch Hoj Arnskjold
Endangered Wildlife Trust (EWT),Johannesburg,South Africa,Constituency - Environmental,(27-11) 486-1102,(27-11) 486-1506,ewt@ewt.org.za,Ms. Harriet Davies-Mostert
Energiaklub Climate Policy Institute and Applied Communications Association (Energiaklub),Budapest,Hungary,Constituency - Research and independent,+3614113520,+3614113529,info@energiaklub.hu,Mr. István László Bart
Energie et Developpement Rural (EDR),Kinshasa,Democratic Republic of the Congo,Constituency - Environmental,(243-9) 9814-7542,,magdymoninga@yahoo.fr,Mr. Magloire Djemo moninga yunga
Energies 2050 (Energies 2050),Biot,France,Constituency - Environmental,+33 (0) 680319189,,contact@energies2050.org,Mr. Stéphane Jacques Henri Pouffary
Energiestiftung Schleswig-Holstein (ESSH),Kiel,Germany,Constituency - ENGO,(49-431)981-5600,(49-431)981-5699,info@essh.de,Ms. Katja Barzantny
Energiewende Saarland e.V. (Energy Alternative Saarland),Saarbrücken,Germany,Constituency - ENGO,(49-681)37-4206,(49-681)37-4206,info@ib-wuensch.de,Ms. Marilyn Heib
Energy 21,Boulogne,France,Constituency - ENGO,(33-1)4604-6850,(33-1)4604-8099,energy21@globenet.org,
Energy and Climate Intelligence Unit Limited (ECIU),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,004420 3102 1833,,info@eciu.net,Mr. George Smeeton
Energy and Climate Policy Institute for Just Transition (ECPI),Seoul,Republic of Korea,Constituency - Environmental CJN,(82-2) 6404-8440,(82-2) 6402-8439,enerzine@naver.com,Mr. Jin-Woo Lee
Energy Carbon Fund (ECF),Moscow,Russian Federation,Constituency - Business and Industry,(7-495)727-3074,(7-495)727-5864,ecf@ecf.elektra.ru,Mr. Mikhail Rogankov
Energy Crossroads (EC),Copenhagen,Denmark,Constituency - Youth,(45) 5122-9892,,plesner@energycrossroads.org,Mr. Michael Deichmann Plesner
Energy Efficiency Association (ENVERDER),Istanbul,Turkey,Constituency - ENGO,+90 216 308 82 50,+90 216 308 87 80,bilgi@enver.org.tr,Ms. Sukriye Yesim Beyla
Energy Forum (Guarantee) Limited (EF),Colombo,Sri Lanka,Constituency - Environmental CAN,(94-11) 281-7710,(94-11) 553-2188,eforum@sltnet.lk,Ms. Wathsala Kumari Herath
Energy Research Austria,Vienna,Austria,Constituency - Research and independent,(43-1) 332-3560,(43-1) 332-3560 / 3069,energy@energyresearch.at,Mr. Robert Hinterberger
Energy Research Centre of the Netherlands (ECN),Petten,Netherlands,Constituency - Research and independent,(31-88) 515 8253,(31-88) 515 8338,londo@ecn.nl,Mr. Paul van Tilburg
Energy Strategies (ES),Montréal,Canada,Constituency - Environmental,(1-514)849-4007,(1-514)849-2195,energie@mlink.net,Mr. Dominique Neuman
Energy Supply Association of Australia Limited (ESAA),Melbourne,Australia,Constituency - Business and Industry,(61-3) 9205 3100,,info@esaa.com.au,Ms. Michelle Bennie
Energy Web Foundation (EWF),Zug,Switzerland,Constituency - Environmental,,,peter.bronski@energyweb.org,Mr. Peter Bronski
Energy-Cities,Besancon,France,Constituency - Local government and Municipal authorities,(33-3) 8165-3680,(33-3) 8150-7351,info@energy-cities.eu,Mr. Frédéric Boyer
Energypedia UG,Eschborn,Germany,Constituency - Research and independent,+49 6196 2029722,,info@energypedia.info,Ms. Johanna Hartmann
Engineering Institute of Canada - Institut Canadien des ingenieurs (EIC-ICI),Ottawa,Canada,Constituency - Business and Industry2,(1-613) 400-1786,,admin.officer@eic-ici.ca,Mr. Guy Gosselin
Engineering Staff College of India (ESCI),Hyderabad,India,Constituency - Research and independent,+91 4066 304 100,+91 4023 000 336,ccc@escihyd.com,Ms. Balijepalli Venkata Subba Rao
Engineers without Borders UK (EWB UK),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Youth,00442037525820,,ceo@ewb-uk.org,Ms. Katie Cresswell-Maynard
EnterpriseWorks Worldwide (EWW),Washington DC,United States of America,Constituency - Business and Industry,(1-202)293-4600,(1-202)293-4598,info@enterpriseworks.org,Mr. Christopher G. Martin
Environment Action Association (EAA),Seoul,Republic of Korea,Constituency - Environmental,+82 2 805 8840~2,+82 2 805 8843,ecoeaa@gmail.com,Ms. Soo Greenstein
Environment and Development Association (EDA),Accra,Ghana,Constituency - Environmental,(233-24) 441-0178,,ahintasem@yahoo.com,Ms. Comfort Asante
Environment West Indies (EWI-Guadeloupe),Pointe-a-Pitre,France,Constituency - ENGO,(590) 82-4182,(590) 82-4042,EWI.Guadeloupe@wanadoo.fr,
Environment-People-Law (EPL),Lviv,Ukraine,Constituency - Environmental CAN,+380322257682,+380322257682,office@epl.org.ua,Ms. Olena Kravchenko
Environmental and Energy Study Institute (EESI),Washington DC,United States of America,Constituency - Environmental CAN,(1-202)628-1400,(1-202)204-5244,eesi@eesi.org,Ms. Anna Elizabeth McGinn
"Environmental Business Council of New England, Inc. (EBC)",Boston,United States of America,Constituency - Business and Industry,(1-617) 725-0207,(1-617) 227-5532,ebc@ebcne.org,Mr. Leo-Pierre Roy
Environmental Defence Canada Inc.,Toronto,Canada,Constituency - Environmental,(416) 323-9521,(416) 323-9301,dmarshall@environmentaldefence.ca,Mr. Dale Marshall
Environmental Defender's Office Ltd. (EDO),Sydney,Australia,Constituency - Environmental CAN,(61-2) 9262-6989,(61-2) 9262-6998,edonsw@edo.org.au,Ms. Amelia Thorpe
Environmental Defense Fund (EDF),Washington,United States of America,Constituency - Environmental CAN,(1-202) 387-3500,(1-202) 234-6049,ahanafi@edf.org,Mr. Alex George Hanafi
Environmental Institute of Munich,Munich,Germany,Constituency - Environmental,(49-89) 307-7490,(49-89) 3077-4920,ch@umweltinstitut.org,Ms. Christina Hacker
Environmental Investigation Agency (EIA),Washington,United States of America,Constituency - Environmental CAN,(1-202) 483-6621,(1-202) 986-8626,info@eia-global.org,Ms. Jilian Claire Kuklinski
Environmental Justice Foundation (EJF),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-207) 239 3310,(44-207)359-7123,info@ejfoundation.org,Mr. Stephan Jermendy
Environmental Law Association (ELA),Potchefstroom,South Africa,Constituency - Research and independent,(27-18) 299-1921,(27-18) 293-5111,enviro.association.sa@gmail.com,Mr. Edmund William Couzens
Environmental Law Institute (ELI),Washington,United States of America,Constituency - Research and independent,(1-202) 939-3800,(1-202) 939-3868,law@eli.org,Mr. Carl Bruch
Environmental Law Research Institute LTD/GTE (ELRI) Lanre Fagbohun,Ikoyi,Nigeria,Constituency - Environmental,+234 1 2801264,,info@elri-ng.org,
Environmental Management for Livelihood Improvement Bwaise Facility (EMLI Bwaise Facility),Kampala,Uganda,Constituency - Environmental CAN,(256-31) 228-6775,,bakiika@bwaisefacility.org,Mr. Robert Bakiika
Environmental Markets Association (EMA),Washington DC,United States of America,Constituency - Business and Industry,(1-202)591 2465,(1-202)223 9741,info@emahq.org,Ms. Lauren Newberry
Environmental Monitoring Group Trust (EMG),Cape Town,South Africa,Constituency - Environmental,(27) 2-1448 -2881,(27) 2-1448-2922,stephen@emg.org.za,Mr. Stephen Law
Environmental Protection And Conservation Organization (EPCO),Grand Gaube,Mauritius,Constituency - Environmental,(230)282-0423,(230)282-0423,kheswar@intnet.mu,Mr. Kheswar Beeharry Panray
Environmental Quality Protection Foundation (EQPF),Taipei,China,Constituency - Environmental,(886-2) 2321-1155,(886-2) 2327-8280,info.eqpf@msa.hinet.net,Mr. Ying-Shih Hsieh
Environmental Resources Trust (ERT),Washington DC,United States of America,Constituency - Environmental,(1-202)785-8577,(1-202)785-8577,wiley.barbour@ghginstitute.org,Mr. Wiley Barbour
Environmental Restoration and Conservation Agency (ERCA),Kawasaki,Japan,Constituency - Environmental,+81 44 520 9501,+81 44 520 2131,m-yonehara@erca.go.jp,Ms. Masae Yonehara
Environmental Services Association Maritimes (ESAM),Dartmouth,Canada,Constituency - Business and Industry,(1-902) 463-3538,(1-902) 466-6889,sandra@esamaritimes.ca,Ms. Sandra Lynch
Environnement et Developpement du Tiers-Monde (ENDA-TM),Dakar,Senegal,Constituency - Environmental CAN,(221-33) 822-2496 / 5983,(221-33) 821-7595 / 823-5157,libasseba@yahoo.fr,Mr. Libasse Ba
Environnement Jeunesse (ENJEU),Montréal,Canada,Constituency - Environmental CAN,(1-514)252-3016,(1-514)254-5873,infoenjeu@enjeu.qc.ca,Mme Catherine Gauthier
Environnement sans frontiére (ESF),Douala,Cameroon,Constituency - Environmental,(237) 7778-2053 / 9432-8042 / 7418-5440,(237-33) 43-6961,cameroun.environnement@yahoo.com,Mr. Alain Alexis Bavoua
EPIA SolarPower Europe (SPE),Brussels,Belgium,Constituency - Business and Industry,(32-2) 709 5520,(32-2) 725 3284,info@solarpowereurope.org,Ms. Kristina Thoring
EPOTEC,Albuquerque,United States of America,Constituency - Environmental,(1-505) 765-1444,(1-505) 247-1398,areed@reedbuzz.com,Mr. Alan Reed
Equidad de Género Ciudadanía Trabajo y Familia (Equidad),Mexico D.F.,Mexico,Constituency - Women and Gender,+52 55 56 58 76 54,,emilia@equidad.org.mx,Ms. Luisa Emilia Reyes Zuñiga
Equiterre,Montréal,Canada,Constituency - Environmental CAN,(1-514) 522-2000,(1-514) 522-1227,afeuillet@equiterre.org,Ms. Alice Feuillet
Erasmus University Rotterdam,Rotterdam,Netherlands,Constituency - Research and independent,(31-10) 408-2222,(31-10) 452-9509,info@rsm.nl,Mr. Steven Kennedy
Erklärung von Bern (BD),Zürich,Switzerland,Constituency - ENGO,(41-44)277-7000,(41-44)277-7001,info@evb.ch,Mr. Andreas Missbach
Espace Point de Départ (ESPOD),Casablanca,Morocco,Constituency - Women and Gender,0522440347,0522440347,ass_espod@yahoo.fr,Mme Chadia Mlahfi
ETC Foundation (ETC),Leusden,Netherlands,Constituency - Environmental CAN,(31-33) 432-6000,(31-33) 494-0791,etc-foundation@etcnl.nl,Ms. Maria Johanna Meijboom
"ETC Group (Action Group on Erosion, Technology and Concentration) (ETC Group)",Ottawa,Canada,Constituency - Research and independent,(1-613) 241-2267,(1-613) 241-2506,etc@etcgroup.org,Ms. Justine Lisette Rastello
Etc Terra,Paris,France,Constituency - Environmental,,,m.tiberghien@etcterra.org,Mr. Matthieu Tiberghien
Euro Chambres (Eurochambres),Brussels,Belgium,Constituency - Business and Industry,(32-2) 282-0850,(32-2) 230-0038,eurochambres@eurochambres.eu,Mr. Clemens Andreas Rosenmayr
Euro-Mediterranean Center on Climate Change (CMCC),Lecce,Italy,Constituency - Research and independent,(39-832) 28-8650,(39-832) 27-7603,info@cmcc.it,Ms. Lorella Reda
Eurocities A.S.B.L.,Brussels,Belgium,Constituency - Local government and Municipal authorities,(32-2) 552-0888,(32-2) 552-0889,info@eurocities.eu,Ms. Joana Cruz
Euroheat & Power (EHP),Brussels,Belgium,Constituency - Business and Industry,(32-2)740-2110,(32-2)740-2119,office@euroheat.org,Mr. Paul Voss
EURONATURA - Centre for Environmental Law and Sustainable Development,Lisboa,Portugal,Constituency - Environmental,(351-21) 386-8420,(351-21) 386-8419,geral@euronatura.pt,Ms. Rita Mafalda Dionísio de Sousa
European Agenda Global Climate Change,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-207)738-6879,(44-207)738-6878,peter_howlett@hotmail.com,Mr. Peter Howlett
European Association for Solar Energy (EUROSOLAR e.V.),Bonn,Germany,Constituency - Business and Industry,(49-228)36-2373,(49-228)36-1213,info@eurosolar.org,Ms. Irm Scheer-Pontenagel
European Association for the Promotion of Cogeneration (COGEN),Brussels,Belgium,Constituency - Business and Industry,(32-2)772-8290,(32-2)772-5044,info@cogen.org,
European Association of Environmental and Resource Economists (EAERE),Marghera-Venice,Italy,Constituency - Environmental,,,eaere@eaere.org,Ms. Monica Eberle
European Bureau for Conservation and Development (EBCD),Brussels,Belgium,Constituency - Environmental,(32-2) 230-3070,(32-2) 230-8272,paolo.mattana@ebcd.org,Mr. Paolo Mattana
European Business Council for Sustainable Energy (e5),Muenchen,Germany,Constituency - Business and Industry,(49) 9295422,,kk@technocarbon.de,Mr. Kolja Kuse
European Chemical Industry Council (CEFIC),Brussels,Belgium,Constituency - Business and Industry,(32-2) 676-7211,(32-2) 676-7300,PBO@cefic.be,Mr. Peter Botschek
European Climate Foundation (ECF),The Hague,Netherlands,Constituency - Environmental,(31-70) 711-9600,(31-70) 711-9601,info@europeanclimate.org,Mr. Jorge Aguado Sánchez
European Committee of the Manufacturers of Fire Protection Equipment and Fire Fighting Vehicles (eurofeu),Würzburg,Germany,Constituency - Business and Industry,(49-931)352-920,(49-931)352-9229,info@bvfa.de,Mr. Wolfram Krause
European Confederation of Woodworking Industries (CEI-Bois),Brussels,Belgium,Constituency - Business and Industry,(32-2) 556-2585,(32-2) 287-0875,info@cei-bois.org,Mr. Filip De Jaeger
European Consortium for the Responsible Application of Refrigerants (EUCRAR),Brussels,Belgium,Constituency - ENGO,(32-2)771-3635,(32-2)762-9425,,
European Consumers' Organisation (BEUC),Brussels,Belgium,Constituency - Environmental,(32-2) 743-1590,(32-2) 740-2802,consumers@beuc.eu,Ms. Sylvia Christine Maurer
European Copper Institute (ECI),Brussels,Belgium,Constituency - Business and Industry,(32-2)777-7070,,yolande.pianet@copperalliance.eu,Ms. Julie Kjestrup
European Council for an Energy Efficient Economy (ECEEE),Stockholm,Sweden,Constituency - ENGO,(46-8)673-1130,(46-8)673-0444,eceee@eceee.org,Mr. Nils Borg
European Cycle Logistics Federation,"Hyde, Cheshire",United Kingdom of Great Britain and Northern Ireland,Constituency - Trade Unions,,,francisco@luciano.com,Mr. Francisco Luciano
European Cyclists' Federation (ECF),Brussels,Belgium,Constituency - Environmental,+32 2 3290380,,office@ecf.com,Ms. Jill Warren
European Dairy Association (EDA),Brussels,Belgium,Constituency - Business and Industry,(32-2) 549-5040,(32-2) 549-5049,eda@euromilk.org,Mr. Alexander Anton
European Environmental Bureau (EEB),Brussels,Belgium,Constituency - Environmental,(32-2)289-1090,(32-2)289-1099,info@eeb.org,Mr. John Hontelez
European Federation of Asthma and Allergy Associations (EFA),Brussels,Belgium,Constituency - ENGO,(32-0)222-72712,(32-0)2 218 3141,info@efanet.org,Ms. Roberta Savli
European Federation of Clean Air and Environmental Protection Associations (EFCA),Delfgau,Netherlands,Constituency - Research and independent,(31-15) 256-4356,(31-15) 261-3186,info@efca.net,Mr. Joop van Ham
European Federation of Regional Energy and Environment Agencies/Fédération Européenne des Agences Régionales de L'Energie et de L'Environnement (FEDARENE),Brussels,Belgium,Constituency - Local government and Municipal authorities,(32-2)646-8210,(32-2)646-8975,fedarene@fedarene.org,Mr. Michael Geissler
