,name,entity_type,TotalMembers,MaleMembers,FemaleMembers,constituency,coordinator,city,country,const
935,Université de Liège,Non-governmental organizations,8,2,6,Constituency - Research and independent,Mr. François Gemenne,Liège,Belgium,RINGO
936,Université de Montréal,Non-governmental organizations,2,2,0,Constituency - Research and independent,Mr. Frederic Merand,Montreal,Canada,RINGO
937,Université de Sherbrooke,Non-governmental organizations,9,2,7,Constituency - Youth,Ms. Denyse Remillard,Sherbrooke,Canada,Youth
938,Université Laval,Non-governmental organizations,1,1,0,Constituency - Research and independent,Ms. Liliana Diaz,Québec,Canada,RINGO
939,Université Libre de Bruxelles,Non-governmental organizations,7,0,7,Constituency - Research and independent,Mr. Edwin Zaccaï,Bruxelles,Belgium,RINGO
940,University College London,Non-governmental organizations,9,4,5,Constituency - Research and independent,Mr. Mark Maslin,London,United Kingdom of Great Britain and Northern Ireland,RINGO
941,University Corporation for Atmospheric Research,Non-governmental organizations,11,6,5,Constituency - Research and independent,Ms. Linda Opal Mearns,Boulder,United States of America,RINGO
942,"University Luigi Bocconi, Institute of Energy and Environment Economics and Policy",Non-governmental organizations,4,2,2,Constituency - Research and independent,Mr. Edoardo Croci,Milan,Italy,RINGO
943,University of Zurich,Non-governmental organizations,7,6,1,Constituency - Research and independent,Ms. Anna Katharina Michaelowa,Zurich,Switzerland,RINGO
944,University of Adelaide,Non-governmental organizations,2,2,0,Constituency - Research and independent,Mr. Manuel Solis,Adelaide,Australia,RINGO
945,University of Antwerp,Non-governmental organizations,8,5,3,Constituency - Research and independent,Mr. Kristof Geeraerts,Antwerpen,Belgium,RINGO
946,University of Applied Sciences Cologne,Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Justyna Sycz,Cologne,Germany,RINGO
947,University of Calgary,Non-governmental organizations,4,1,3,Constituency - Research and independent,Ms. Sharon Lorene Mascher,Calgary,Canada,RINGO
948,University of California,Non-governmental organizations,40,16,24,Constituency - Research and independent,Mr. Robert Monroe,San Diego,United States of America,RINGO
949,University of Cambridge,Non-governmental organizations,10,2,8,Constituency - Business and Industry,Mr. Eliot Whittington,Cambridge,United Kingdom of Great Britain and Northern Ireland,BINGO
950,University of Cape Town,Non-governmental organizations,1,0,1,Constituency - Research and independent,Mr. Mark New,Rondebosch,South Africa,RINGO
951,University of Colorado at Boulder,Non-governmental organizations,6,2,4,Constituency - Research and independent,Mr. James William Carl White,Boulder,United States of America,RINGO
952,University of Connecticut,Non-governmental organizations,12,3,9,Constituency - Research and independent,Ms. Zahra Syed Ali,Storrs,United States of America,RINGO
953,University of Copenhagen,Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Annette Kathe Jeholm,Copenhagen,Denmark,RINGO
954,University of East Anglia,Non-governmental organizations,4,2,2,Constituency - Research and independent,Mr. Asher Minns,Norwich,United Kingdom of Great Britain and Northern Ireland,RINGO
955,University of Eastern Finland,Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Kati Kulovesi,Kuopio,Finland,RINGO
956,University of Edinburgh,Non-governmental organizations,6,3,3,Constituency - Research and independent,Mr. Eladio Figueroa Cabrera,Edinburgh,United Kingdom of Great Britain and Northern Ireland,RINGO
957,University of Exeter,Non-governmental organizations,3,2,1,Constituency - Research and independent,Mr. Alexander Huke,Exeter,United Kingdom of Great Britain and Northern Ireland,RINGO
958,"University of Freiburg, Institute of Forest and Environmental Policy",Non-governmental organizations,3,1,2,Constituency - Research and independent,Ms. Sabine Reinecke,Freiburg i.Br.,Germany,RINGO
959,University of Genoa,Non-governmental organizations,2,0,2,Constituency - Research and independent,Ms. Adriana Del Borghi,Genova,Italy,RINGO
960,University of Hamburg,Non-governmental organizations,5,4,1,Constituency - Research and independent,Mr. Stefan Cihan Aykut,Hamburg,Germany,RINGO
961,University of Hawaii,Non-governmental organizations,8,1,7,Constituency - Youth,Mr. Matthew Kamakani Lynch,Honolulu,United States of America,Youth
962,University of Heidelberg,Non-governmental organizations,6,4,2,Constituency - Research and independent,Ms. Sanam Noreen Vardag,Heidelberg,Germany,RINGO
963,University of Helsinki,Non-governmental organizations,1,0,1,Constituency - Research and independent,Ms. Anna Matilda Lintunen,Helsinki,Finland,RINGO
964,University of Illinois,Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Meredith Kaye Moore,Urbana,United States of America,RINGO
965,University of Leeds,Non-governmental organizations,4,2,2,Constituency - Research and independent,Ms. Shona Cowan Smith,Leeds,United Kingdom of Great Britain and Northern Ireland,RINGO
966,University of Linköping,Non-governmental organizations,9,4,5,Constituency - Research and independent,Mr. Mathias Fridahl,Norrkoping,Sweden,RINGO
967,University of Maryland,Non-governmental organizations,6,3,3,Constituency - Research and independent,Ms. Shannon Kathleen Kennedy,College Park,United States of America,RINGO
968,University of Melbourne,Non-governmental organizations,2,2,0,Constituency - Research and independent,Ms. Robyn Eckersley,Melbourne,Australia,RINGO
969,University of Michigan,Non-governmental organizations,13,3,10,Constituency - Research and independent,Mr. Jose Alfaro,Ann Arbor,United States of America,RINGO
970,University of Minnesota,Non-governmental organizations,12,3,9,Constituency - Research and independent,Ms. Elizabeth Mercer-Taylor,Minneapolis,United States of America,RINGO
971,University of Nijmegen,Non-governmental organizations,5,2,3,Constituency - Research and independent,Ms. Carlijn Hendriks,Nijmegen,Netherlands,RINGO
972,University of North Carolina,Non-governmental organizations,8,2,6,Constituency - Youth,Ms. Angel Hsu,Chapel Hill,United States of America,Youth
973,University of Oslo,Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Christina Voigt,Oslo,Norway,RINGO
974,University of Oxford,Non-governmental organizations,10,4,6,Constituency - Research and independent,Ms. Anne Loreto Ryan,Oxford,United Kingdom of Great Britain and Northern Ireland,RINGO
975,University of Reading,Non-governmental organizations,8,2,6,Constituency - Research and independent,Ms. Rosalind Cornforth,Reading,United Kingdom of Great Britain and Northern Ireland,RINGO
976,University of Southern Denmark,Non-governmental organizations,2,0,2,Constituency - Research and independent,Mr. Nicola Tollin,Odense M,Denmark,RINGO
977,"University of St. Gallen, Institute for Economy and the Environment",Non-governmental organizations,1,1,0,Constituency - ENGO,Mr. Rolf Wüstenhagen,St. Gallen,Switzerland,ENGO
978,University of Sussex - Sussex Energy Group,Non-governmental organizations,3,1,2,Constituency - Environmental,Mr. Rob Byrne,Brighton,United Kingdom of Great Britain and Northern Ireland,ENGO
979,University of Technology Malaysia,Non-governmental organizations,3,3,0,Constituency - Research and independent,Mr. Mohd Ismail Abd Aziz,Johor,Malaysia,RINGO
980,University of Texas at Austin,Non-governmental organizations,5,4,1,Constituency - Research and independent,Ms. Katherine Duncker Romanak,Austin,United States of America,RINGO
981,University of Tokyo,Non-governmental organizations,9,2,7,Constituency - Research and independent,Mr. Shuichiro Asao,Tokyo,Japan,RINGO
982,University of Toronto,Non-governmental organizations,10,2,8,Constituency - Research and independent,Mr. Matthew Hoffmann,Toronto,Canada,RINGO
983,University of Vermont,Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Bettine Gioia Thompson,Burlington,United States of America,RINGO
984,University of Washington,Non-governmental organizations,2,0,2,Constituency - Research and independent,Mr. Jeffrey Milner Riedinger,Seattle,United States of America,RINGO
985,University of Waterloo,Non-governmental organizations,11,3,8,Constituency - Research and independent,Mr. Simon Christian Glauser,Waterloo,Canada,RINGO
986,Uppsala University,Non-governmental organizations,10,5,5,Constituency - Research and independent,Ms. Carmen Rosa Medina Llanos,Uppsala,Sweden,RINGO
987,urgewald e.V.,Non-governmental organizations,4,0,4,Constituency - Environmental,Ms. Kathrin Petz,Sassenberg,Germany,ENGO
988,Vanderbilt University,Non-governmental organizations,12,4,8,Constituency - Research and independent,Mr. Mark Abkowitz,Nashville,United States of America,RINGO
989,Vasudha Foundation,Non-governmental organizations,1,1,0,Constituency - Environmental CAN,Mr. Srinivas Krishnaswamy,New Delhi,India,ENGO
990,Vermont Law School,Non-governmental organizations,4,3,1,Constituency - Research and independent,Ms. Sarah Marie Mooney Reiter,South Royalton,United States of America,RINGO
991,Verra,Non-governmental organizations,5,3,2,Constituency - Business and Industry,Ms. Jessica Herfurth,Washington,United States of America,BINGO
992,Victoria University Wellington,Non-governmental organizations,5,1,4,Constituency - Research and independent,Mr. Jonathan George Boston,Wellington,New Zealand,RINGO
993,Vikalp,Non-governmental organizations,3,3,0,Constituency - Indigenous peoples,Mr. Himanshu Banker,New Delhi,India,IPO
994,Viracao Educommunication,Non-governmental organizations,13,7,6,Constituency - Youth,Mr. Rafael Alves da Silva,Sao Paulo,Brazil,Youth
995,Virginia Polytechnic Institute and State University,Non-governmental organizations,6,4,2,Constituency - Environmental,Ms. Chelsey Watts,Blacksburg,United States of America,ENGO
996,"Vitae Civilis Institute for Development, Environment and Peace",Non-governmental organizations,23,11,12,Constituency - Environmental CAN,Mr. Delcio Rodrigues,Sao Paulo,Brazil,ENGO
997,Vivre en Ville,Non-governmental organizations,1,1,0,Constituency - Local government and Municipal authorities,Mme Claudia Bennicelli,Québec,Canada,LGMA
998,Wageningen University,Non-governmental organizations,6,1,5,Constituency - Research and independent,Mr. Martin Herold,Wageningen,Netherlands,RINGO
999,Washington University,Non-governmental organizations,21,5,16,Constituency - ENGO,Ms. Meghan Chapple,Washington,United States of America,ENGO
1000,Water Safety Initiative Foundation,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Unyime Robinson,Uyo,Nigeria,ENGO
1001,Welthungerhilfe,Non-governmental organizations,2,1,1,Constituency - Environmental CAN,Mr. Michael Kuehn,Bonn,Germany,ENGO
1002,Wetlands International,Non-governmental organizations,5,2,3,Constituency - Environmental CAN,Ms. Leorita Appulo,Wageningen,Netherlands,ENGO
1003,Widener University,Non-governmental organizations,2,1,1,Constituency - Research and independent,Mr. John Charles Dernbach,Harrisburg,United States of America,RINGO
1004,Wildlife Conservation Society,Non-governmental organizations,7,5,2,Constituency - Environmental,Mr. Todd Stevens,Bronx,United States of America,ENGO
1005,WindEurope,Non-governmental organizations,7,6,1,Constituency - Business and Industry,Ms. Diletta Zeni,Brussels,Belgium,BINGO
1006,Windward Fund,Non-governmental organizations,5,3,2,Constituency - Environmental,Mr. Lee Bodner,Washington,United States of America,ENGO
1007,Winrock International,Non-governmental organizations,9,5,4,Constituency - Environmental CAN,Ms. Mary Grady,Little Rock,United States of America,ENGO
1008,Women Engage for a Common Future,Non-governmental organizations,14,2,12,Constituency - Women and Gender,Ms. Anne Barre,Utrecht,Netherlands,Women and Gender
1009,Women Environmental Programme,Non-governmental organizations,9,3,6,Constituency - Women and Gender,Ms. Priscilla Mbarumun Achakpa,Abuja,Nigeria,Women and Gender
1010,Women Organizing for Change in Agriculture and Natural Resource Management,Non-governmental organizations,3,0,3,Constituency - Women and Gender,Ms. Jeannette Gurung,Washington,United States of America,Women and Gender
1011,Women’s Earth and Climate Caucus,Non-governmental organizations,7,0,7,Constituency - Women and Gender,Ms. Osprey Orielle Lake,Mill Valley,United States of America,Women and Gender
1012,Women’s Environment and Development Organization,Non-governmental organizations,48,6,42,Constituency - Women and Gender,Ms. Bridget Burns,New York,United States of America,Women and Gender
1013,Women’s International League for Peace and Freedom,Non-governmental organizations,4,0,4,Constituency - Environmental,Ms. Line Favre,Geneva,Switzerland,ENGO
1014,World Alliance of Young Men’s Christian Associations,Non-governmental organizations,16,7,9,Constituency - Youth,Mr. Razvan Sassu,Vernier,Switzerland,Youth
1015,World Bioenergy Association,Non-governmental organizations,6,6,0,Constituency - Business and Industry,Mr. Bhardwaj Kummamuru Venkata,Stockholm,Sweden,BINGO
1016,World Business Council for Sustainable Development,Non-governmental organizations,34,25,9,Constituency - Business and Industry,Mr. Karl Vella,Geneva,Switzerland,BINGO
1017,World Coal Association,Non-governmental organizations,1,1,0,Constituency - Business and Industry,Mr. Liam McHugh,London,United Kingdom of Great Britain and Northern Ireland,BINGO
1018,World Conference of Religions for Peace,Non-governmental organizations,1,0,1,Constituency - ENGO,Ms. Deepika Singh,New York,United States of America,ENGO
1019,World Council of Churches,Non-governmental organizations,11,6,5,Constituency - Environmental CAN,Mr. Per Henrik Gunnar Grape,Geneva 2,Switzerland,ENGO
1020,World Economic Forum,Non-governmental organizations,5,1,4,Constituency - Business and Industry,Ms. Kija Kummer-Brown,Cologny,Switzerland,BINGO
1021,World Energy Council,Non-governmental organizations,2,2,0,Constituency - Business and Industry,Ms. Sandra Winkler,London,United Kingdom of Great Britain and Northern Ireland,BINGO
1022,World Evangelical Alliance,Non-governmental organizations,6,2,4,Constituency - Environmental,Mr. Chris Elisara,New York,United States of America,ENGO
1023,World Farmers’ Organisation,Non-governmental organizations,45,23,22,Constituency - Farmers,Ms. Ceris Jones,Rome,Italy,Farmers
1024,World Federation of Engineering Organizations,Non-governmental organizations,5,3,2,Constituency - ENGO,Mr. Davide Stronati,Paris,France,ENGO
1025,World Future Council,Non-governmental organizations,4,1,3,Constituency - Research and independent,Ms. Anna Sophie Skowron,Hamburg,Germany,RINGO
1026,"World Green Building Council, Inc.",Non-governmental organizations,3,1,2,Constituency - Business and Industry,Ms. Maria Cristina Gamboa,Toronto,Canada,BINGO
1027,World Medical Association,Non-governmental organizations,6,4,2,Constituency - Research and independent,Ms. Clarisse Delorme,Ferney-Voltair,France,RINGO
1028,World Ocean Council,Non-governmental organizations,1,1,0,Constituency - Business and Industry,Mr. Paul Holthus,Honolulu,United States of America,BINGO
1029,World Ocean Network,Non-governmental organizations,3,2,1,Constituency - Environmental,Mr. Manuel Cira,Boulogne-sur Mer,France,ENGO
1030,World Organization of the Scout Movement,Non-governmental organizations,1,1,0,Constituency - Youth,Ms. Annie Weaver,"Brickfields, Kuala Lumpur",Switzerland,Youth
1031,World Resources Institute,Non-governmental organizations,28,14,14,Constituency - Environmental CAN,Mr. Timothy Constien,Washington,United States of America,ENGO
1032,World Steel Association,Non-governmental organizations,2,1,1,Constituency - Business and Industry,Ms. Åsa Ekdahl,Brussels,Belgium,BINGO
1033,World Union of Small and Medium Enterprises,Non-governmental organizations,2,2,0,Constituency - Business and Industry,Ms. Maria Valeria Pasquini,San Marino,San Marino,BINGO
1034,World Water Council,Non-governmental organizations,2,1,1,Constituency - Environmental,Ms. Chiara Christina Colombo,Marseille,France,ENGO
1035,World Wind Energy Association,Non-governmental organizations,1,1,0,Constituency - Business and Industry,Mr. Stefan Gsänger,Bonn,Germany,BINGO
1036,Worldwatch Institute,Non-governmental organizations,2,1,1,Constituency - Environmental CAN,Mr. Alexander Ochs,Washington,United States of America,ENGO
1037,"Wuppertal Institute for Climate, Environment and Energy",Non-governmental organizations,10,7,3,Constituency - Environmental CAN,Mr. Nicolas Kreibich,Wuppertal,Germany,ENGO
1038,WWF,Non-governmental organizations,82,40,42,Constituency - Environmental CAN,Mr. Mark Lutes,Gland,Switzerland,ENGO
1039,Yale Student Environmental Coalition,Non-governmental organizations,23,7,16,Constituency - Environmental,Ms. Katie Lynn Schlick,New Haven,United States of America,ENGO
1040,Yale University,Non-governmental organizations,10,8,2,Constituency - ENGO,Mr. Donald Filer,New Haven,United States of America,ENGO
1041,York University,Non-governmental organizations,13,8,5,Constituency - Research and independent,Mr. Richard Bryce Rudyk,New York,United States of America,RINGO
1042,Young Energy Specialists - Development Cooperation,Non-governmental organizations,8,3,5,Constituency - Youth,Mr. Yanniek Cornelis Machiel Huisman,Utrecht,Netherlands,Youth
1043,Young Power in Social Action,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Mohammad Arifur Rahman,Chittagong,Bangladesh,ENGO
1044,Zhenjiang Green Sanshan Environmental Public Welfare Service Center,Non-governmental organizations,3,1,2,Constituency - Environmental,,中国江苏省镇江市,China,ENGO
1045,ZOI Environment Network,Non-governmental organizations,2,2,0,Constituency - Research and independent,Mr. Viktor Novikov,Geneva,Switzerland,RINGO
